2019_05_27_19_37_24 : Category F, N = 5k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.31909613210688, Est. CMI = 1.2605087757110596 +- 0.04855772852897644, 
2019_05_28_08_24_59 : Category G, N = 20k, d_z = 10, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.3182682856317696, Est. CMI = 2.1130125522613525 +- 0.051504649221897125, 
2019_05_28_09_23_02 : Category G, N = 20k, d_z = 50, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.3108876837565395, Est. CMI = 1.630186676979065 +- 0.08597409725189209, 
2019_05_28_10_25_28 : Category G, N = 20k, d_z = 100, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 2.332555289690082, Est. CMI = 0.06741408258676529 +- 0.6228506565093994, 
2019_05_26_22_14_26 : Category Non-lin-NI_1, N = 5k, d_z = 10, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.26733686905400667, Est. CMI = 0.21714696288108826 +- 0.010403832420706749, 
2019_05_26_22_43_30 : Category Non-lin-NI_2, N = 10k, d_z = 10, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.4414272698629488, Est. CMI = 0.12299185991287231 +- 0.020593933761119843, 
2019_05_26_23_40_05 : Category Non-lin-NI_3, N = 20k, d_z = 10, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2761208966246932, Est. CMI = 0.24209800362586975 +- 0.009793227538466454, 
2019_05_27_01_50_14 : Category Non-lin-NI_4, N = 50k, d_z = 10, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.46306335607134747, Est. CMI = 0.38679954409599304 +- 0.012733910232782364, 
2019_05_27_02_06_39 : Category Non-lin-NI_5, N = 5k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2816014892464159, Est. CMI = 0.1596371829509735 +- 0.017909152433276176, 
2019_05_27_02_37_41 : Category Non-lin-NI_6, N = 10k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2802978043129859, Est. CMI = 0.22820892930030823 +- 0.02655983529984951, 
2019_05_27_03_37_39 : Category Non-lin-NI_7, N = 20k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.3730573476118949, Est. CMI = 0.18245546519756317 +- 0.024576593190431595, 
2019_05_27_05_53_13 : Category Non-lin-NI_8, N = 50k, d_z = 20, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2850901440636776, Est. CMI = 0.26167312264442444 +- 0.007627691142261028, 
2019_05_27_06_08_07 : Category Non-lin-NI_9, N = 5k, d_z = 50, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.4072828855855296, Est. CMI = 0.03330347314476967 +- 0.01891709491610527, 
2019_05_27_06_37_41 : Category Non-lin-NI_10, N = 10k, d_z = 50, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.3529036578736936, Est. CMI = -0.00035775452852249146 +- 0.005547965876758099, 
2019_05_27_07_37_00 : Category Non-lin-NI_11, N = 20k, d_z = 50, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2841805419847202, Est. CMI = 0.18046830594539642 +- 0.017353752627968788, 
2019_05_27_10_02_34 : Category Non-lin-NI_12, N = 50k, d_z = 50, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2893739188652623, Est. CMI = 0.22928564250469208 +- 0.007398173678666353, 
2019_05_27_10_17_42 : Category Non-lin-NI_13, N = 5k, d_z = 100, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.7385165055642087, Est. CMI = 0.10808327049016953 +- 0.0468943752348423, 
2019_05_27_10_47_05 : Category Non-lin-NI_14, N = 10k, d_z = 100, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2815017088994657, Est. CMI = -0.020655905827879906 +- 0.033521946519613266, 
2019_05_27_11_46_06 : Category Non-lin-NI_15, N = 20k, d_z = 100, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.34478443346032417, Est. CMI = -0.0080063221976161 +- 0.014194958843290806, 
2019_05_27_14_14_12 : Category Non-lin-NI_16, N = 50k, d_z = 100, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.336858758491405, Est. CMI = 0.07190608978271484 +- 0.018369808793067932, 
2019_05_27_14_31_09 : Category Non-lin-NI_17, N = 5k, d_z = 200, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.270104166322512, Est. CMI = -0.25087884068489075 +- 0.19805948436260223, 
2019_05_27_15_03_28 : Category Non-lin-NI_18, N = 10k, d_z = 200, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.2897375041601914, Est. CMI = -1.6618210077285767 +- 0.37328076362609863, 
2019_05_27_16_06_48 : Category Non-lin-NI_19, N = 20k, d_z = 200, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.7397957405722647, Est. CMI = -18.381444931030273 +- 2.841907024383545, 
2019_05_27_18_33_53 : Category Non-lin-NI_20, N = 50k, d_z = 200, Mimic = mi_diff, Tester = Neural, Metric = f_divergence, : True CMI = 0.3299024069277613, Est. CMI = 0.019377131015062332 +- 0.021310579031705856, 

*******************************************************************************************************************************************************

